Training Provider Name,Address,Telephone No.,Email,Website Link,Industry
NURKMAM SERVICES,,60102264752,nurkmam@gmail.com,No Corporate Domain Detected (Gmail),Services
TWENTY-FOUR CONSULTING PLT,,60123880980,hello@twenty-four.io,http://www.twenty-four.io,Consulting
FOURTH MEDIA SDN BHD,,60122121421,people@thefourth.media,http://www.thefourth.media,Media
ST. JOHN AMBULANCE OF MALAYSIA (WILAYAH PERSEKUTUAN),,60392852008,kuancheek@gmail.com,No Corporate Domain Detected (Gmail),NGO
ASIA EDUTECH HOLDINGS SDN BHD,,60126611626,info@aedutech.com.my,http://www.aedutech.com.my,Edutech
SKILLS NETWORK ACADEMY SDN. BHD.,,60197166454,skillsnetworkacademy@gmail.com,No Corporate Domain Detected (Gmail),Skills Network
TRADE WIZARD ACADEMY SDN. BHD.,,60123019389,office@tedoptimus.com,http://www.tedoptimus.com,Trading Academy
PERSATUAN PERKHIDMATAN PENSTERILAN MALAYSIA,,60192285010,mssa.pppm@gmail.com,,
SA ACADEMY SDN BHD,,60341315544,sa.academysdnbhd@gmail.com,No Corporate Domain Detected (Gmail),Academy
SENTUHAN DERINA,,60173710572,derinamanagement@gmail.com,No Corporate Domain Detected (Gmail),Derina
GT2 HEALTHCARE SDN BHD,,60193574243,narizah.ms@gt2healthcare.com,http://www.gt2healthcare.com,Healthcare
SMART EMPLOYMENT ADVISORY & SERVICES (M) SDN BHD,,60163124560,shanti@sea-s.net,http://www.sea-s.net,Employment Advisory
M E KONG & ASSOCIATES SDN BHD,,60124380194,cheras.taxadmin@yyc.my,http://www.yyc.my,Associates
EKHWAN TRADING & RESOURCES SDN BHD,,60193301010,ekhwan.training@gmail.com,No Corporate Domain Detected (Gmail),Trading Resources
FND MINDSPOT,,60173117616,effendy@fndmindspot.com,http://www.fndmindspot.com,Mindspot
LASAJU CONSULTING SDN BHD,,60123923579,training@lasaju.com,http://www.lasaju.com,Consulting
RECONNECT & RECHARGE SDN BHD,,60182233782,ariff@reconnectandrecharge.com,http://www.reconnectandrecharge.com,Recharge
INTRUTH SDN. BHD.,,60129291724,stephanieowen.biz@gmail.com,No Corporate Domain Detected (Gmail),Intruth
DSCVRY SDN BHD,,60126967483,keath@dscvrybodymind.com,http://www.dscvrybodymind.com,Discovery
VERTREK ENTERPRISE,,60169572837,vertrekmalaysia@gmail.com,No Corporate Domain Detected (Gmail),Enterprise
KEMMA CAKNA RESOURCES,"SUITE M2-16-08,,8TRIUM TOWER,TOWER 2,JALAN CEMPAKA SD12/5,,BANDAR SRI DAMANSARA,KUALA LUMPUR,Kuala Lumpur,Malaysia-52200",60173623274,hellokcr.training@gmail.com,No Corporate Domain Detected (Gmail),Resources
THE BUTLERS TOUCH CONSULTANT,,+60176610041,sherry@thebutlerstouch.com,No Corporate Domain Detected (Hotmail),Butler Consultant
INFINITUS TAX SERVICES SDN BHD,,60133308891,jerrylee@infinitus-advisory.com,http://www.infinitus-advisory.com,Tax Services
STERLING RISK SOLUTIONS SDN BHD,,60322800777,delivered@sterlinggroup.com.my,http://www.sterlinggroup.com.my,Risk Solutions
RAM RATING SERVICES BERHAD,,6033852558,training@ram.com.my,http://www.ram.com.my,Rating Services
WORLD COMMUNICATIONS NETWORK RESOURCES (M) SDN. BHD.,,60321663661,info@world.com.my,http://www.world.com.my,Network Resources
ORANGE BOX STUDIO,,60163921282,jaymusicdirector@gmail.com,No Corporate Domain Detected (Gmail),Studio
LEGAL ARTISAN SDN. BHD.,"UNIT 3.07, LEVEL 3,KL GATEWAY MALL,NO.2 JALAN KERINCHI,PANTAI DALAM,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59200",60329359776,shamj2@gmail.com,No Corporate Domain Detected (Gmail),Legal Artisan
SLH VENTURES,,60129551055,yond81@gmail.com,No Corporate Domain Detected (Gmail),Ventures
EDUCOP ACADEMY PLT,,60172415285,shakie05@gmail.com,No Corporate Domain Detected (Gmail),Academy
INFRAMESIA TECHNOLOGIES,,60193729504,syafi@inframesia.com,No Corporate Domain Detected (Gmail),Technologies
INA2ND HYPERLINK SDN BHD,,60173917486,ina2ndhyperlink@gmail.com,No Corporate Domain Detected (Gmail),Hyperlink
NOVELLA E CONSOLIDATED SDN BHD,,60105395269,novellaeconsolidated@gmail.com,No Corporate Domain Detected (Gmail),Consolidated
KOP SECURITY AGENCY SDN. BHD.,,60197950106,training@kopsa.com.my,http://www.kopsa.com.my,Security Agency
COGNATIVES DEVELOPMENT HUB,,60146783091,christal.tr@gmail.com,No Corporate Domain Detected (Gmail),Development Hub
KS TRAINING RESOURCES,,6017628072,k.kayatthri@gmail.com,No Corporate Domain Detected (Gmail),Training Resources
AK SYNERGY SOLUTION SDN.BHD.,"VO2-03-06 BLOCK VO2,V OFFICE SUITES,LINGKARAN SV (OFF JALAN PEEL),SUNWAY VELOCITY,KUALA LUMPUR,Kuala Lumpur,Malaysia-55100",60392268288,aateh@stcholdings.com.my,http://www.stcholdings.com.my,Synergy Solution
PERSATUAN PROMOSI MATLAMAT PEMBANGUNAN LESTARI,,60164431023,zoelng@appgm-sdg.com,http://www.appgm-sdg.com,SDG Promotion
TCG ACADEMY SDN BHD,,60133680874,zahari@telecomconsulting.com.au,http://www.telecomconsulting.com.au,Academy
REY INTELLIGENCE PLT,,60122746560,shergarreza@gmail.com,No Corporate Domain Detected (Gmail),Intelligence
DIGIFOREN (M) SDN. BHD.,,60390783528,training@digiforen.my,http://www.digiforen.my,Digital Forensics
UPTHINK TECHNOLOGY SDN. BHD.,,60166064813,rahman@upthinktech.com,http://www.upthinktech.com,Tech
COURSE REP SDN. BHD.,,60176480020,courserep.tp@dktconsult.com,http://www.dktconsult.com,Course Rep
IDEO SOFT SDN. BHD.,,60123196026,marina@ideosoft.com.my,http://www.ideosoft.com.my,Software
HANZ CONSULTING GROUP SDN BHD,,60122254578,yihuiho@hanzsolution.com,http://www.hanzsolution.com,Consulting Group
EMPROS ASIA SDN BHD,,60172758758,empros_asia@pm.me,No Corporate Domain Detected (Me),Asia
ELITE EDGE TRAINING,,60327856816,pathma@eliteedge.com.my,http://www.eliteedge.com.my,Edge Training
MAJU JUTA VENTURES,,60107601656,info.mjvt@gmail.com,No Corporate Domain Detected (Gmail),Ventures
ANGSANA HEALTH SDN. BHD.,,60146000730,admin@angsanahealth.com,http://www.angsanahealth.com,Health
SOLS FOUNDATION,,60123959500,tim.asquith@sols247.org,http://www.sols247.org,Foundation
BIN AZIZ GLOBAL VENTURES (M) SDN BHD,,60193301010,bagv.training@gmail.com,No Corporate Domain Detected (Gmail),Global Ventures
BPP MALAYSIA SDN. BHD.,,60176663855,tihooineow@bpp.com,http://www.bpp.com,Professional Education
BOXCUBE TRAVELLERS (M) SDN BHD,"UNIT D-13-05,MENARA SUEZCAP 1,,KL GATEWAY, NO 1,,JALAN KERINCHI LESTARI,,GERBANG KERINCHI LESTARI,,KUALA LUMPUR,Kuala Lumpur,Malaysia-59200",60109152011,info@boxcube.asia,http://www.boxcube.asia,Travel
KROL EMPIRE,,60132791262,krolempire@gmail.com,No Corporate Domain Detected (Gmail),Empire
INSIGHTPATH SOLUTIONS SDN. BHD.,,60172422968,support@insightpath.com.my,http://www.insightpath.com.my,Solutions
GROW4U CONSOLIDATED SDN. BHD.,,60105395236,grow4uconsolidated@gmail.com,No Corporate Domain Detected (Gmail),Consolidated
MOCHI TECHNOLOGIES SDN. BHD.,,60379724699,janet.hr@gobsglobal.com,http://www.gobsglobal.com,Technologies
CHIK & CHAIK CONSULTING SDN BHD,,60125072047,chikedy@gmail.com,No Corporate Domain Detected (Gmail),Consulting
FUTURESPARX SDN BHD,,601123743030,chailing@futuresparx.com,http://www.futuresparx.com,Future Sparx
DIA ACADEMY SDN BHD,,60186681816,kayewong90@gmail.com,No Corporate Domain Detected (Gmail),Academy
HCI HEALTH COACH INTERNATIONAL SDN BHD,"WISMA QUEST, 36-4,,JALAN METRO PUDU,FRASER BUSINESS PARK,OFF JALAN YEW,KUALA LUMPUR,Kuala Lumpur,Malaysia-55100",60389336218,support@health-coach-international.com,http://www.health-coach-international.com,Health Coach
MINDNIONS ENTERPRISE,,60163371478,mindi.mindnions@gmail.com,No Corporate Domain Detected (Gmail),Enterprise
COACHOLOGY SDN BHD,,60169010487,sarah@coachology.com,http://www.coachology.com,Coachology
CPD L TRAINING SERVICES,,60163752803,lvmanagement2@gmail.com,No Corporate Domain Detected (Gmail),Training Services
ALPHAUS CLOUD SDN BHD,,60182936312,armila@alphaus.cloud,http://www.alphaus.cloud,Cloud
MK TECHNOLOGY ENTERPRISE,,60176325907,Mktechnologyenterprise@gmail.com,No Corporate Domain Detected (Gmail),Technology
CY SIMPLIFY PEOPLE SDN. BHD.,,60173268374,cs@simplifypeople.com,http://www.simplifypeople.com,People
FIRMUS SDN. BHD.,,60364112626,shushean.chan@firmussec.com,http://www.firmussec.com,Security
SALAF HEALTHCARE ACADEMY SDN BHD,"22,,JALAN KOVIL HILIR,,OFF JALAN SULTAN AZLAN SHAH,,SENTUL,KUALA LUMPUR,Kuala Lumpur,Malaysia-51100",60340412691,admin@salafgroupmalaysia.com,http://www.salafgroupmalaysia.com,Healthcare Academy
CATAPULT LEARNING SOLUTIONS,,60172621826,matt@catapultlearningsolutions.com,http://www.catapultlearningsolutions.com,Learning Solutions
EVERFINE TAXATION SDN. BHD.,,60379834772,adm.everfine@yahoo.com,No Corporate Domain Detected (Yahoo),Taxation
MAZE GLOBAL SDN. BHD,,60125152422,dennis.mvpteambuilding@gmail.com,No Corporate Domain Detected (Gmail),Global
MVGX MALAYSIA SDN BHD,,60348177887,nuraiman.khairulanuar@mvgx.com,http://www.mvgx.com,Green Exchange
MAPS & GLOBE SPECIALIST DISTRIBUTOR SDN. BHD.,,60392016611,kelly@maps-globe.com,http://www.maps-globe.com,Maps Distributor
MINDA NURANI RESOURCES,,60322796198,ramleeabdulmanaf1968@gmail.com,No Corporate Domain Detected (Gmail),Resources
ADVANCE MEDICARE SERVICE SDN BHD,,60169803415,advancemedic@hotmail.com,No Corporate Domain Detected (Hotmail),Medicare
MTECHNIX SDN. BHD.,,60348102045,gopika@mtechnix.com,http://www.mtechnix.com,Technix
LIFE REDESIGNED PLT,"C-15-3,,ANJALI NORTH KIARA, 5,,JALAN 3/61,,BUKIT SEGAMBUT,KUALA LUMPUR,Kuala Lumpur,Malaysia-51200",60 125210192,karfei@liferedesigned.co,http://www.liferedesigned.co,Life Design
DRONEDASH TECHNOLOGIES SDN. BHD.,,60189001663,roberta@dronedash.one,http://www.dronedash.one,Drone Tech
AXSEL GLOBAL SERVICES,"SUITE 01-08, 1ST FLOOR,TKS BUSINESS CENTRE, MENARA TKSS,206, JALAN SEGAMBUT,KEPONG BARU, KEPONG,SEGAMBUT,Kuala Lumpur,Malaysia-51200",60143386297,ambiga.axselgs@gmail.com,No Corporate Domain Detected (Gmail),Global Services
BUSYBUDS PLT,,+60177186059,kmf0905@gmail.com,No Corporate Domain Detected (Gmail),Buds
FPG SOLUTION & CONSULTANCY SDN. BHD.,,60348166106,desmenfoo@fpgberhad.com,http://www.fpgberhad.com,Solution Consultancy
BYONDWAVE ACADEMY SDN BHD,,60149441482,kelvin.soo@byondwave.com,http://www.byondwave.com,Wave Academy
THE ASSOCIATED CHINESE CHAMBERS OF COMMERCE AND INDUSTRY OF MALAYSIA,,60342603090,acccim@acccim.org.my,,
BASTION CONSULTING SDN. BHD.,,601238896,queenie.low12@gmail.com,No Corporate Domain Detected (Gmail),Consulting
WONG KAR LIN,,60128192878,wongkarlin@gmail.com,No Corporate Domain Detected (Gmail),Individual
GLORIOUS FINTECH SERVICES SDN BHD,,60162158802,gloriousfintechservices@gmail.com,No Corporate Domain Detected (Gmail),Fintech Services
MINDSPRING SDN. BHD.,,60123132570,ashrafiqbal@mindspringgroup.com,http://www.mindspringgroup.com,Mindspring
EKS BUMI SDN. BHD.,,60362034726,eksbumi@gmail.com,No Corporate Domain Detected (Gmail),Bumi
HYDRAMAS ACC SERVICES,,60194080121,hydramas.acc.services@gmail.com,No Corporate Domain Detected (Gmail),Acc Services
AUBRENS SDN BHD,,60389660231,admin@aubrens.com,http://www.aubrens.com,Aubrens
TALENTFLOW MANAGEMENT CONSULTANCY,,60163207084,peaming@gmail.com,No Corporate Domain Detected (Gmail),Talent Flow
LEADWELL TRAINING ACADEMY,,+60169579511,cindyjoe3011@gmail.com,No Corporate Domain Detected (Gmail),Academy
INTERNATIONAL MASTER TRAINERS SDN. BHD.,,60379822123,fawwaz@entrusty.com,http://www.entrusty.com,Master Trainers
UPSKILL LIFE ACADEMY SDN BHD,,60122680970,shanthinee@uslacademy.asia,http://www.uslacademy.asia,Upskill Academy
PLATINUM RADIATION SCIENCES CONSULTANCY SDN. BHD.,,60192254700,noriahjamal60@gmail.com,No Corporate Domain Detected (Gmail),Radiation Sciences
MARITIME INSTITUTE OF MALAYSIA,,60321771260,suhaila@mima.gov.my,http://www.mima.gov.my,Maritime Institute
MALAYSIAN DANCESPORT BERHAD,,60122370337,kelvindansachoo@gmail.com,No Corporate Domain Detected (Gmail),Dancesport
PAINT BOMBER SDN BHD,,60176868320,paintbombermy@gmail.com,No Corporate Domain Detected (Gmail),Paintball
FOLKS TAXATION SDN. BHD.,,60322732688,tax@folksdfk.com,http://www.folksdfk.com,Taxation
ONE BUSINESS ACADEMY SDN. BHD.,,601136015318,business.academy@1company.com,http://www.1company.com,Business Academy
WEALTHY INHERITANCE TECH SDN BHD,,60179200564,wealthyinheritancetech@gmail.com,No Corporate Domain Detected (Gmail),Inheritance Tech
LM EDUCATION SDN. BHD.,,60196188775,iskandar@stratford.edu.my,http://www.stratford.edu.my,Education
AVENSYS CONSULTING SDN. BHD.,,60330008662,klhr@aven-sys.com,http://www.aven-sys.com,Consulting
ALT CTRL DELETE CONSULTANCY,,60192700088,BOO.PHIA@GMAIL.COM,No Corporate Domain Detected (Gmail),Consultancy
ROCK OIL CONSULTING SDN. BHD.,,60386883873,enquiries@rockoilgroup.com.my,http://www.rockoilgroup.com.my,Oil Consulting
AMELIA INTERNATIONAL SDN BHD,,60162192777,shithahamid@gmail.com,No Corporate Domain Detected (Gmail),International
C.I.S PB SDN. BHD.,,60379824668,thiviya@cisnetwork.com,http://www.cisnetwork.com,Network
PROREGAL ADVISORY SDN. BHD.,,60341424151,trainer@yipassociates.com.my,http://www.yipassociates.com.my,Advisory
PROPCADEMY SDN. BHD.,,60376270076,michael@propcademy.com,http://www.propcademy.com,Prop Academy
PERFECT WEALTH ADVISORY SDN. BHD.,,60123712170,smahmod@gmail.com,No Corporate Domain Detected (Gmail),Wealth Advisory
BRIGHT WAVE MARKETING SDN. BHD.,"BRIGHT WAVE MARKETING SUITE 3A,,LG1-2, SERI GEMBIRA AVENUE,,JALAN SENANG RIA HAPPY GARDEN,,KUCHAI LAMA,,KUALA LUMPUR,Kuala Lumpur,Malaysia-58200",60122247233,jennyng@brightwavemarketing.co,http://www.brightwavemarketing.co,Marketing
SHEVIA TRAINING AND DEVELOPMENT,,60102422808,aishveenita1510@gmail.com,No Corporate Domain Detected (Gmail),Training Development
LWH CORPORATE SERVICES SDN. BHD.,,60146886878,inquiry@lwh-group.com,http://www.lwh-group.com,Corporate Services
GROWTH GURU SDN. BHD.,"SUITE B.10.5,,PLAZA MONT KIARA 2,,JALAN KIARA,,MONT KIARA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50480",60162212012,hello@growthguru.asia,http://www.growthguru.asia,Growth Guru
HI-TECH EV ENERGY ACADEMY SDN. BHD.,,60173395936,ezyezlyana84@gmail.com,No Corporate Domain Detected (Gmail),EV Academy
JNE TOUR & TRAVEL SDN BHD,,60166611334,ktlim@jnetour.com,http://www.jnetour.com,Tour Travel
LA ZAT COOKING,,60193827878,anapenchala@gmail.com,No Corporate Domain Detected (Gmail),Cooking
ELURA ACADEMY SDN. BHD.,,60341318448,nisya@fapp.com.my,http://www.fapp.com.my,Academy
JEWELED GECKO RESOURCES,"10-2, JALAN 1/109E,JALAN DESA,,OFF JALAN KLANG LAMA,TAMAN DESA,KUALA LUMPUR,Kuala Lumpur,Malaysia-58100",60192555060,akbalamin@yahoo.com,No Corporate Domain Detected (Yahoo),Resources
SYNCNETIC SDN BHD,"1-12-07, LEVEL 12,,MENARA BANGKOK BANK @ BERJAYA CENTRAL PARK,LAMAN SENTRAL BERJAYA,,NO. 105, JALAN AMPANG,KUALA LUMPUR,Kuala Lumpur,Malaysia-50450",603-2181 7923,enquiries@syncnetic.com.my,http://www.syncnetic.com.my,Syncnetic
CMS RISEUP SOLUTIONS SDN. BHD.,,60126862690,chris@3riseupsolutions.com,No Corporate Domain Detected (Gmail),Solutions
VERDURE FLORA ACADEMY,,60128838116,evacheonglw@gmail.com,No Corporate Domain Detected (Gmail),Flora Academy
COVALENT BOND TRAINING SOLUTIONS,,60146390919,admin@covalentbond.com.my,http://www.covalentbond.com.my,Training Solutions
MOTORSPORT ASSOCIATION OF MALAYSIA,,60126157637,razman_mustafa@yahoo.com.my,No Corporate Domain Detected (Yahoo),Motorsport
PEOPLELOGY DISCOVERY SDN. BHD.,"UNIT 9-10,,THE BOULEVARD OFFICES,,MID VALLEY CITY,,LINGKARAN SYED PUTRA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59200",60322871829,sbl-khas.inquiry@peoplelogy.com,http://www.peoplelogy.com,People Discovery
TRADEMARK2U SDN. BHD.,,60362745352,yip@trademark2u.org,http://www.trademark2u.org,Trademark
ALIVE ONENESS ACADEMY (M) SDN. BHD.,,60125683606,jkwan0603@gmail.com,No Corporate Domain Detected (Gmail),Oneness Academy
JFOURTH SOLUTIONS SDN. BHD.,,60163313424,muzzil@jfourthsolutions.com,No Corporate Domain Detected (Gmail),Solutions
RAKYAT MANAGEMENT SERVICES SDN BHD,,60173628075,nurulizzah@arrahnuxchange.com.my,http://www.arrahnuxchange.com.my,Management Services
ADVANCE BIZ SOLUTIONS PLT,,60362522850,bhtan@bhtadvisory.com,http://www.bhtadvisory.com,Biz Solutions
KNOWLEDGE & SKILL TVET ACADEMY SDN. BHD.,"LEVEL 9-13A, GMBB,NO. 2, JALAN ROBERTSON,BUKIT BINTANG,KUALA LUMPUR,KUALA LUMPUR,Kuala Lumpur,Malaysia-50150",60177519622,kanendran@knowskillstvet.com,http://www.knowskillstvet.com,TVET Academy
CONNECTIONS PRIVEE WINNIE SDN. BHD.,,60122128580,winnie@connectionspriveewinnie.com,http://www.connectionspriveewinnie.com,Connections
GREENSTEM BUSINESS SOFTWARE SDN. BHD.,,60362633933,admin@greenstem.com.my,http://www.greenstem.com.my,Business Software
THE BOMB BATTLE SDN. BHD.,,60127909026,hello@thebombbattle.com,No Corporate Domain Detected (Gmail),Bomb Battle
PRO CONSULTANCY ACADEMY SDN. BHD.,,60174329511,profinance.my@gmail.com,No Corporate Domain Detected (Gmail),Consultancy Academy
RAZAK SCHOOL OF GOVERNMENT,"ADMINISTRATIVE BUILDING (BLOCK A),NATIONAL INSTITUTE OF PUBLIC ADMINISTRATION (INTAN),JALAN ILMU,OFF LORONG UNIVERSITI,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59100",+60388736004,ainun@rsog.com.my,http://www.rsog.com.my,Government School
MARKETINGPLUS SDN. BHD.,,60126370400,debbie.gan@mplus.asia,http://www.mplus.asia,Marketing Plus
ALIGN AUTHENTICITY PLT,,60123722488,alia@alignauthenticity.com,http://www.alignauthenticity.com,Authenticity
PEOPLELAKE TRAINING & CONSULTANCY SDN. BHD.,,60162341177,thasha.krishnan@peoplelake.asia,http://www.peoplelake.asia,People Lake
GLOBAL GREEN CONNECT SDN. BHD.,,60199861387,accounts.my@globalgreenconnect.com,http://www.globalgreenconnect.com,Green Connect
ENHANCE QC SDN. BHD.,,60167224013,sandhya@enhanceqc.com,http://www.enhanceqc.com,QC
COGNEETIF XPERIENCE REZULT SDN. BHD.,,60173362658,jespuvancxr@gmail.com,No Corporate Domain Detected (Gmail),Experience
AZEO SDN. BHD.,,60182773957,info@azeo.com.my,http://www.azeo.com.my,Azeo
STARLIGHT SYNERGY SOLUTIONS,,60125622408,support@starlightsynergy.my,http://www.starlightsynergy.my,Synergy Solutions
THE CANDOUR COLLECTIVE SDN. BHD.,,60123931064,jasmin.peters@thecandourcollective.com,http://www.thecandourcollective.com,Collective
ADRIANYEO TAX KL SDN. BHD.,,60103828600,hello@adrianyeotaxkl.my,http://www.adrianyeotaxkl.my,Tax KL
IMPIAN VISION RESOURCES PLT,,60187931817,general@impian-vision.com,No Corporate Domain Detected (Gmail),Vision Resources
IQRA COMPLIANCE PLT,,60124749781,iqracompliance@outlook.com,No Corporate Domain Detected (Outlook),Compliance
MIMOS SERVICES SDN. BHD.,,601128345490,daniel.arwan@mimos.my,http://www.mimos.my,Services
ASIA HUMAN CAPITAL CENTRE SDN. BHD.,,60341474033,info@asiahumancapitalcentre.com,http://www.asiahumancapitalcentre.com,Human Capital
SCHLUMBERGER WTA (MALAYSIA) SDN BHD,,60176016313,njais@slb.com,http://www.slb.com,Oilfield Services
STUDIO TWENTY SDN. BHD.,,60123094238,finance@studio20.my,http://www.studio20.my,Studio
EMPOWER ACADEMY SDN. BHD.,,60175647798,mr_izzatibrahim@yahoo.com,No Corporate Domain Detected (Yahoo),Empower Academy
AW COMMUNICATIONS SDN. BHD.,,60122130861,wcl@wongchuiling.com,http://www.wongchuiling.com,Communications
CYBERTRONIUM SDN. BHD.,,60322013393,leenmohd@cybertronium.com,http://www.cybertronium.com,Cyber
BARISTA EXPERIENCE SDN. BHD.,,60182006740,dennishew@baristaexperience.academy,http://www.baristaexperience.academy,Barista Experience
BEABLE MALAYSIA SDN. BHD.,,60122923839,hafiz@beable.com.my,http://www.beable.com.my,Beable
NATTEST LAB SDN. BHD.,,60179176488,admin2@nl-test.com,http://www.nl-test.com,Lab
STRAITS INTERACTIVE SDN. BHD.,,60392128533,benjamin@straitsinteractive.com,http://www.straitsinteractive.com,Interactive
BK INTELLECTS RESOURCES,,601123422605,vostra12@gmail.com,No Corporate Domain Detected (Gmail),Intellects
PEOPLELOGY DIGITAL SDN. BHD.,,60322871829,sbl-khas.inquiry@peoplelogy.com,http://www.peoplelogy.com,Digital People
EXCELLEARNZ LEARNING & CONSULTANCY PLT,,60125336175,excellearnz1007@gmail.com,No Corporate Domain Detected (Gmail),Excel Learn
ARES OVERSEAS SDN. BHD.,,60189176074,kl@ares-os.com,http://www.ares-os.com,Overseas
OMBAK ACADEMY SDN. BHD.,,60341438414,nor_dila28@yahoo.com,No Corporate Domain Detected (Yahoo),Academy
TRATAX SDN. BHD.,"UNIT 13-11, LEVEL 13, TOWER A,,THE VERTICAL, AVENUE 3,,BANGSAR SOUTH CITY,,NO. 8, JALAN KERINCHI,,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59200",60322421887,accounts@tratax.my,http://www.tratax.my,Tax
VISIONWIDE SUSTAINABILITY SDN. BHD.,,603 7931 9835,esg.my@visionwide.co,http://www.visionwide.co,Sustainability
BISHWAROOP INTERNATIONAL HEALING & RESEARCH SDN. BHD.,"N0.66A,DAMAI COMPLEX,JALAN LUMUT,0FF JALAN IPOH,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50400",60149302355,bishwaroopmalaysia@gmail.com,,
AFFILION ADVISORY SDN. BHD.,,60364199223,mei-lin.liaw@affilionadvisory.com,http://www.affilionadvisory.com,Advisory
APPLIED PARTNERS SDN. BHD.,,60166378880,appliedpartners.tax@gmail.com,No Corporate Domain Detected (Gmail),Partners
HONEYWELL ENGINEERING SDN. BHD.,,60122736774,Wan.Othman@Honeywell.com,http://www.Honeywell.com,Engineering
SCS GLOBAL CONSULTING (M) SDN. BHD.,,60327109989,sarah@scsinvictus.com.my,http://www.scsinvictus.com.my,Global Consulting
PINNACLE CONNEXION SDN. BHD.,,60123393129,khim@pinnaclezones.com,http://www.pinnaclezones.com,Connexion
MARA LINER SDN. BHD.,,60193356310,jabarullah@maralinergroup.my,http://www.maralinergroup.my,Liner Group
MOMENT INTELLIGENCE SDN. BHD.,,60145754131,moment-int@outlook.com,No Corporate Domain Detected (Outlook),Intelligence
PLUS THREE CONSULTANTS (MALAYSIA) SDN. BHD.,,60320933832,kl@plus3.international,http://www.plus3.international,Consultants
SOLVATRIX SDN. BHD.,,60163066454,nevaashan@solvatrix.com.my,http://www.solvatrix.com.my,Solvatrix
KNOWLEDGE GAINS SDN.BHD.,,60391723352,knowledge_gains@yahoo.com,No Corporate Domain Detected (Yahoo),Knowledge Gains
SEEDS MANAGEMENT SDN. BHD.,,60162388545,casper_935@hotmail.com,No Corporate Domain Detected (Hotmail),Management
NEXTGEN PILOT SDN. BHD.,,60174065767,mugu@nextgenpilot.aero,http://www.nextgenpilot.aero,Pilot
KOENIG SOLUTIONS SDN. BHD.,,60123323308,KoenigHRD@koenig-solutions.com,http://www.koenig-solutions.com,IT Solutions
HAIYIN CORPORATION SDN. BHD.,,60362099100,training@gpl.com.my,http://www.gpl.com.my,Corporation
CANADIAN AMERICAN PROFESSIONAL EDUCATION SYSTEMS SDN. BHD.,,60362701587,hello@capes1.com,,
TRINITY BUSINESS CONSULTING PLT,,60124826282,cklim288@yahoo.com,No Corporate Domain Detected (Yahoo),Business Consulting
MARVELLOUS HALLMARK SDN. BHD.,,60127909026,sales.marvellous@outlook.com,No Corporate Domain Detected (Outlook),Hallmark
SCIICS SDN. BHD.,,60327056592,sherif@sciics.com,http://www.sciics.com,Sciics
Y COACHING ACADEMY PLT,,6585751550,ycoachingacademy@gmail.com,No Corporate Domain Detected (Gmail),Coaching Academy
CK TAN CONSULTANCY,,60162682206,cktan.consult@gmail.com,No Corporate Domain Detected (Gmail),Consultancy
IN VALUE MASTER TRAINING SDN. BHD.,,60182848838,comsec.work@gmail.com,No Corporate Domain Detected (Gmail),Master Training
360DIGITMG SDN. BHD.,,601137991378,lavanya@360digitmg.com,http://www.360digitmg.com,Digit
GEMIRIS CONSULTANCY,,60192171117,rose@gemiris.com,http://www.gemiris.com,Consultancy
TALOGY (MALAYSIA) SDN. BHD.,,60133245495,sarah.zulkefle@talogy.com,http://www.talogy.com,Talogy
EPIC LOGIC SDN. BHD.,,60123522100,shireen@equilogics.com,http://www.equilogics.com,Logic
TTE ELEPHANT HEADSPA SDN. BHD.,,60162066916,ttelephant.malaysia@gmail.com,No Corporate Domain Detected (Gmail),Headspa
BMI ROOFING SYSTEMS SDN. BHD.,,60321760600,sahazam.hashim@bmigroup.com,http://www.bmigroup.com,Roofing Systems
DARULTEK INSTRUMENT SDN. BHD.,,60379873418,cwtan@darultek.com.my,http://www.darultek.com.my,Instrument
ASTRAEDGE CONSULTANCY & TRAINING,,601159243923,prudence8989@gmail.com,No Corporate Domain Detected (Gmail),Consultancy Training
SOFIASPHERE VENTURES,,60147608988,dive@urbancitydivers.com,http://www.urbancitydivers.com,Ventures
PUSAT ASPIRASI CEMERLANG,,60129992883,pusataspirasicemerlang@gmail.com,No Corporate Domain Detected (Gmail),Aspiration
COSMIC TRAINING & CONSULTANCY ENTERPRISE,,60123010809,shanthi.samy@gmail.com,No Corporate Domain Detected (Gmail),Cosmic Training
ANTARA INTERNATIONAL CONSULTANCY PLT,,60167179260,Evenabila.antara@gmail.com,No Corporate Domain Detected (Gmail),International Consultancy
VINJO MARKETING ACADEMY SDN. BHD.,,+601156414083,beyboonee@gmail.com,No Corporate Domain Detected (Gmail),Marketing Academy
QUACKTEOW PLT,,60165682957,quackteow@gmail.com,No Corporate Domain Detected (Gmail),Food
ENERGEM ADVISORY SERVICES SDN. BHD.,,60163866499,sharmila@energemadvisory.com,http://www.energemadvisory.com,Energy Advisory
